round,week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
Regular season,11,Sat,2014-11-08,18:30,Werder Bremen,2–0,Stuttgart,40284,Weserstadion,Guido Winkmann,/en/matches/592e6a5c/Werder-Bremen-Stuttgart-November-8-2014-Bundesliga,,592e6a5c
Regular season,11,Sun,2014-11-09,17:30,Dortmund,1–0,M'Gladbach,80667,Signal Iduna Park,Felix Brych,/en/matches/fe83f456/Dortmund-Monchengladbach-November-9-2014-Bundesliga,,fe83f456
Regular season,11,Sun,2014-11-09,15:30,Wolfsburg,2–0,Hamburger SV,30000,Volkswagen Arena,Knut Kircher,/en/matches/af88ffc3/Wolfsburg-Hamburger-SV-November-9-2014-Bundesliga,,af88ffc3
Regular season,12,Sat,2014-11-22,15:30,Bayern Munich,4–0,Hoffenheim,71000,Allianz Arena,Peter Gagelmann,/en/matches/fdbee0db/Bayern-Munich-Hoffenheim-November-22-2014-Bundesliga,,fdbee0db
Regular season,12,Sat,2014-11-22,15:30,Hannover 96,1–3,Leverkusen,40800,HDI-Arena,Marco Fritz,/en/matches/1538eaf3/Hannover-96-Bayer-Leverkusen-November-22-2014-Bundesliga,,1538eaf3
Regular season,12,Sat,2014-11-22,18:30,Köln,1–2,Hertha BSC,49200,RheinEnergieSTADION,Tobias Stieler,/en/matches/1480f6b9/Koln-Hertha-BSC-November-22-2014-Bundesliga,,1480f6b9
Regular season,12,Sat,2014-11-22,15:30,M'Gladbach,1–3,Eint Frankfurt,54010,Stadion im Borussia-Park,Bastian Dankert,/en/matches/c172ed20/Monchengladbach-Eintracht-Frankfurt-November-22-2014-Bundesliga,,c172ed20
Regular season,12,Sat,2014-11-22,15:30,Mainz 05,2–2,Freiburg,28157,Opel Arena,Daniel Siebert,/en/matches/a0cba743/Mainz-05-Freiburg-November-22-2014-Bundesliga,,a0cba743
Regular season,12,Sat,2014-11-22,15:30,Paderborn 07,2–2,Dortmund,15000,Benteler-Arena,Wolfgang Stark,/en/matches/c603c85d/Paderborn-07-Dortmund-November-22-2014-Bundesliga,,c603c85d
Regular season,12,Sat,2014-11-22,15:30,Schalke 04,3–2,Wolfsburg,60989,Veltins-Arena,Robert Hartmann,/en/matches/32d4b3d1/Schalke-04-Wolfsburg-November-22-2014-Bundesliga,,32d4b3d1
