week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
24,Sat,1992-02-15,,Leverkusen,2–0,Karlsruher,,,Lutz Michael Fröhlich,/en/matches/2d703148/Bayer-Leverkusen-Karlsruher-February-15-1992-Bundesliga,,2d703148
24,Sat,1992-02-15,,M'Gladbach,1–1,Hansa Rostock,,,Hans Scheuerer,/en/matches/6fedeb3e/Monchengladbach-Hansa-Rostock-February-15-1992-Bundesliga,,6fedeb3e
24,Sat,1992-02-15,,Stuttgart,3–1,Düsseldorf,,,Hartmut Strampe,/en/matches/7a7326a4/Stuttgart-Dusseldorf-February-15-1992-Bundesliga,,7a7326a4
24,Sun,1992-02-16,,Hamburger SV,0–1,Kaiserslautern,,,Jürgen Aust,/en/matches/137a9aa1/Hamburger-SV-Kaiserslautern-February-16-1992-Bundesliga,,137a9aa1
25,Thu,1992-02-20,,Bochum,0–5,Bayern Munich,,,Gerhard Theobald,/en/matches/35f5751a/Bochum-Bayern-Munich-February-20-1992-Bundesliga,,35f5751a
25,Fri,1992-02-21,,Karlsruher,2–2,MSV Duisburg,,,Markus Merk,/en/matches/970631eb/Karlsruher-MSV-Duisburg-February-21-1992-Bundesliga,,970631eb
25,Fri,1992-02-21,,Werder Bremen,1–1,Leverkusen,,,Bernd Heynemann,/en/matches/cb9287c7/Werder-Bremen-Bayer-Leverkusen-February-21-1992-Bundesliga,,cb9287c7
25,Sat,1992-02-22,,Dresden,0–0,Dortmund,,,Hans-Peter Dellwing,/en/matches/5a3071a0/Dresden-Dortmund-February-22-1992-Bundesliga,,5a3071a0
25,Sat,1992-02-22,,Düsseldorf,1–1,M'Gladbach,,,Wolfgang Mierswa,/en/matches/d730034d/Dusseldorf-Monchengladbach-February-22-1992-Bundesliga,,d730034d
25,Sat,1992-02-22,,Hansa Rostock,1–1,Wattenscheid,,,Manfred Neuner,/en/matches/095b52be/Hansa-Rostock-Wattenscheid-February-22-1992-Bundesliga,,095b52be
25,Sat,1992-02-22,,Kaiserslautern,1–1,Eint Frankfurt,,,Manfred Harder,/en/matches/9f5346bb/Kaiserslautern-Eintracht-Frankfurt-February-22-1992-Bundesliga,,9f5346bb
25,Sat,1992-02-22,,Köln,4–0,Nürnberg,,,Wieland Ziller,/en/matches/93b3e745/Koln-Nurnberg-February-22-1992-Bundesliga,,93b3e745
25,Sat,1992-02-22,,S'gart Kickers,1–1,Hamburger SV,,,Hellmut Krug,/en/matches/bcf20da7/Stuttgarter-Kickers-Hamburger-SV-February-22-1992-Bundesliga,,bcf20da7
25,Sat,1992-02-22,,Schalke 04,0–1,Stuttgart,,,Hans-Jürgen Kasper,/en/matches/f6aa37f6/Schalke-04-Stuttgart-February-22-1992-Bundesliga,,f6aa37f6
26,Fri,1992-02-28,,Leverkusen,3–0,Hansa Rostock,,,Michael Malbranc,/en/matches/c35ede69/Bayer-Leverkusen-Hansa-Rostock-February-28-1992-Bundesliga,,c35ede69
26,Fri,1992-02-28,,MSV Duisburg,0–0,Werder Bremen,,,Hermann Albrecht,/en/matches/6d209fc7/MSV-Duisburg-Werder-Bremen-February-28-1992-Bundesliga,,6d209fc7
26,Fri,1992-02-28,,Wattenscheid,4–1,Düsseldorf,,,Manfred Amerell,/en/matches/62c3436e/Wattenscheid-Dusseldorf-February-28-1992-Bundesliga,,62c3436e
26,Sat,1992-02-29,,Bayern Munich,0–0,Köln,,,Alfons Berg,/en/matches/560ab29a/Bayern-Munich-Koln-February-29-1992-Bundesliga,,560ab29a
26,Sat,1992-02-29,,Dortmund,1–1,Bochum,,,Hans-Joachim Osmers,/en/matches/86b56e58/Dortmund-Bochum-February-29-1992-Bundesliga,,86b56e58
26,Sat,1992-02-29,,Eint Frankfurt,2–1,Hamburger SV,,,Michael Prengel,/en/matches/0f818a58/Eintracht-Frankfurt-Hamburger-SV-February-29-1992-Bundesliga,,0f818a58
26,Sat,1992-02-29,,Karlsruher,3–1,S'gart Kickers,,,Hans-Jürgen Weber,/en/matches/6d466c51/Karlsruher-Stuttgarter-Kickers-February-29-1992-Bundesliga,,6d466c51
26,Sat,1992-02-29,,M'Gladbach,1–1,Schalke 04,,,Hans-Peter Best,/en/matches/cf2d1f8e/Monchengladbach-Schalke-04-February-29-1992-Bundesliga,,cf2d1f8e
26,Sat,1992-02-29,,Nürnberg,3–2,Kaiserslautern,,,Bernd Heynemann,/en/matches/0851a091/Nurnberg-Kaiserslautern-February-29-1992-Bundesliga,,0851a091
26,Sat,1992-02-29,,Stuttgart,1–1,Dresden,,,Lothar Löwer,/en/matches/c66e868b/Stuttgart-Dresden-February-29-1992-Bundesliga,,c66e868b
27,Fri,1992-03-06,,Dresden,1–2,M'Gladbach,,,Manfred Neuner,/en/matches/75408c72/Dresden-Monchengladbach-March-6-1992-Bundesliga,,75408c72
27,Fri,1992-03-06,,Hansa Rostock,0–0,MSV Duisburg,,,Wolf-Günter Wiesel,/en/matches/27bbe88a/Hansa-Rostock-MSV-Duisburg-March-6-1992-Bundesliga,,27bbe88a
27,Fri,1992-03-06,,Schalke 04,1–1,Wattenscheid,,,Hans Scheuerer,/en/matches/79d08c18/Schalke-04-Wattenscheid-March-6-1992-Bundesliga,,79d08c18
27,Sat,1992-03-07,,Bochum,0–2,Stuttgart,,,Werner Föckler,/en/matches/12027a4f/Bochum-Stuttgart-March-7-1992-Bundesliga,,12027a4f
27,Sat,1992-03-07,,Düsseldorf,1–1,Leverkusen,,,Günther Habermann,/en/matches/fc2982eb/Dusseldorf-Bayer-Leverkusen-March-7-1992-Bundesliga,,fc2982eb
27,Sat,1992-03-07,,Kaiserslautern,4–0,Bayern Munich,,,Karl-Heinz Gläser,/en/matches/c50327f0/Kaiserslautern-Bayern-Munich-March-7-1992-Bundesliga,,c50327f0
27,Sat,1992-03-07,,Köln,1–2,Dortmund,,,Eugen Strigel,/en/matches/57e627a3/Koln-Dortmund-March-7-1992-Bundesliga,,57e627a3
27,Sat,1992-03-07,,S'gart Kickers,0–2,Eint Frankfurt,,,Jürgen Aust,/en/matches/9e615d30/Stuttgarter-Kickers-Eintracht-Frankfurt-March-7-1992-Bundesliga,,9e615d30
27,Sat,1992-03-07,,Werder Bremen,0–0,Karlsruher,,,Wieland Ziller,/en/matches/e5b968a8/Werder-Bremen-Karlsruher-March-7-1992-Bundesliga,,e5b968a8
27,Sun,1992-03-08,,Hamburger SV,0–2,Nürnberg,,,Georg Dardenne,/en/matches/0a701488/Hamburger-SV-Nurnberg-March-8-1992-Bundesliga,,0a701488
28,Fri,1992-03-13,,M'Gladbach,1–2,Bochum,,,Markus Merk,/en/matches/c3be8d2f/Monchengladbach-Bochum-March-13-1992-Bundesliga,,c3be8d2f
28,Fri,1992-03-13,,Nürnberg,1–3,Eint Frankfurt,,,Klaus-Dieter Stenzel,/en/matches/ead2ba74/Nurnberg-Eintracht-Frankfurt-March-13-1992-Bundesliga,,ead2ba74
28,Fri,1992-03-13,,Werder Bremen,1–3,S'gart Kickers,,,Lothar Löwer,/en/matches/0dd755ea/Werder-Bremen-Stuttgarter-Kickers-March-13-1992-Bundesliga,,0dd755ea
28,Sat,1992-03-14,,Bayern Munich,2–0,Hamburger SV,,,Werner Föckler,/en/matches/67823051/Bayern-Munich-Hamburger-SV-March-14-1992-Bundesliga,,67823051
28,Sat,1992-03-14,,Dortmund,3–1,Kaiserslautern,,,Aron Schmidhuber,/en/matches/929b1a92/Dortmund-Kaiserslautern-March-14-1992-Bundesliga,,929b1a92
28,Sat,1992-03-14,,Karlsruher,2–1,Hansa Rostock,,,Michael Prengel,/en/matches/3f78a48f/Karlsruher-Hansa-Rostock-March-14-1992-Bundesliga,,3f78a48f
28,Sat,1992-03-14,,Leverkusen,2–1,Schalke 04,,,Rainer Boos,/en/matches/9a2a28a0/Bayer-Leverkusen-Schalke-04-March-14-1992-Bundesliga,,9a2a28a0
28,Sat,1992-03-14,,Stuttgart,1–0,Köln,,,Wolfgang Mierswa,/en/matches/8f5e89cf/Stuttgart-Koln-March-14-1992-Bundesliga,,8f5e89cf
28,Tue,1992-03-17,,MSV Duisburg,2–2,Düsseldorf,,,Hans-Joachim Osmers,/en/matches/da634804/MSV-Duisburg-Dusseldorf-March-17-1992-Bundesliga,,da634804
29,Fri,1992-03-20,,Bochum,1–1,Wattenscheid,,,Georg Dardenne,/en/matches/74d1a526/Bochum-Wattenscheid-March-20-1992-Bundesliga,,74d1a526
29,Fri,1992-03-20,,Dresden,1–0,Leverkusen,,,Hartmut Strampe,/en/matches/1b578d41/Dresden-Bayer-Leverkusen-March-20-1992-Bundesliga,,1b578d41
29,Fri,1992-03-20,,Hamburger SV,1–1,Dortmund,,,Hans Fux,/en/matches/b5142a1b/Hamburger-SV-Dortmund-March-20-1992-Bundesliga,,b5142a1b
29,Sat,1992-03-21,,Düsseldorf,2–3,Karlsruher,,,Bernd Heynemann,/en/matches/e6d7899d/Dusseldorf-Karlsruher-March-21-1992-Bundesliga,,e6d7899d
29,Sat,1992-03-21,,Eint Frankfurt,3–2,Bayern Munich,,,Hellmut Krug,/en/matches/2c7a7293/Eintracht-Frankfurt-Bayern-Munich-March-21-1992-Bundesliga,,2c7a7293
29,Sat,1992-03-21,,Hansa Rostock,0–0,Werder Bremen,,,Manfred Führer,/en/matches/dba7e377/Hansa-Rostock-Werder-Bremen-March-21-1992-Bundesliga,,dba7e377
29,Sat,1992-03-21,,Kaiserslautern,0–0,Stuttgart,,,Karl-Josef Assenmacher,/en/matches/893bc77a/Kaiserslautern-Stuttgart-March-21-1992-Bundesliga,,893bc77a
29,Sat,1992-03-21,,Köln,1–1,M'Gladbach,,,Lothar Löwer,/en/matches/53d3d77b/Koln-Monchengladbach-March-21-1992-Bundesliga,,53d3d77b
29,Sat,1992-03-21,,S'gart Kickers,3–1,Nürnberg,,,Michael Prengel,/en/matches/7419b609/Stuttgarter-Kickers-Nurnberg-March-21-1992-Bundesliga,,7419b609
29,Sat,1992-03-21,,Schalke 04,3–0,MSV Duisburg,,,Manfred Neuner,/en/matches/c4c4132b/Schalke-04-MSV-Duisburg-March-21-1992-Bundesliga,,c4c4132b
30,Fri,1992-03-27,,MSV Duisburg,3–0,Dresden,,,Hans Scheuerer,/en/matches/3c55cd67/MSV-Duisburg-Dresden-March-27-1992-Bundesliga,,3c55cd67
30,Fri,1992-03-27,,Wattenscheid,1–2,Köln,,,Michael Malbranc,/en/matches/a001440a/Wattenscheid-Koln-March-27-1992-Bundesliga,,a001440a
30,Fri,1992-03-27,,Werder Bremen,2–1,Düsseldorf,,,Alfons Berg,/en/matches/c61426c5/Werder-Bremen-Dusseldorf-March-27-1992-Bundesliga,,c61426c5
30,Sat,1992-03-28,,Bayern Munich,1–3,Nürnberg,,,Karl-Josef Assenmacher,/en/matches/68d7115e/Bayern-Munich-Nurnberg-March-28-1992-Bundesliga,,68d7115e
30,Sat,1992-03-28,,Dortmund,2–2,Eint Frankfurt,,,Wieland Ziller,/en/matches/8fbac88f/Dortmund-Eintracht-Frankfurt-March-28-1992-Bundesliga,,8fbac88f
30,Sat,1992-03-28,,Hansa Rostock,2–2,S'gart Kickers,,,Hans-Jürgen Kasper,/en/matches/440f100e/Hansa-Rostock-Stuttgarter-Kickers-March-28-1992-Bundesliga,,440f100e
30,Sat,1992-03-28,,Karlsruher,1–0,Schalke 04,,,Hermann Albrecht,/en/matches/db6a61f8/Karlsruher-Schalke-04-March-28-1992-Bundesliga,,db6a61f8
30,Sat,1992-03-28,,Leverkusen,2–0,Bochum,,,Hans-Peter Best,/en/matches/48557506/Bayer-Leverkusen-Bochum-March-28-1992-Bundesliga,,48557506
30,Sat,1992-03-28,,M'Gladbach,1–0,Kaiserslautern,,,Manfred Amerell,/en/matches/59024cb2/Monchengladbach-Kaiserslautern-March-28-1992-Bundesliga,,59024cb2
30,Sat,1992-03-28,,Stuttgart,3–2,Hamburger SV,,,Klaus-Dieter Stenzel,/en/matches/deb37955/Stuttgart-Hamburger-SV-March-28-1992-Bundesliga,,deb37955
